ï..station_id	stationname	date	daytype	rides
41080	47th-South Elevated	12/18/2017	W	1,148
41080	47th-South Elevated	12/07/2017	W	1,142
41080	47th-South Elevated	12/21/2017	W	1,130
41080	47th-South Elevated	12/09/2017	A	718
41080	47th-South Elevated	12/03/2017	U	568
41080	47th-South Elevated	12/08/2017	W	1,174
41080	47th-South Elevated	12/11/2017	W	1,168
41080	47th-South Elevated	12/26/2017	W	654
41080	47th-South Elevated	12/22/2017	W	1,156
41080	47th-South Elevated	12/25/2017	U	309
41080	47th-South Elevated	12/10/2017	U	542
41080	47th-South Elevated	12/05/2017	W	1,203
41080	47th-South Elevated	12/24/2017	U	480
41080	47th-South Elevated	12/27/2017	W	759
41080	47th-South Elevated	12/16/2017	A	728
41080	47th-South Elevated	12/17/2017	U	504
41080	47th-South Elevated	12/12/2017	W	1,123
41080	47th-South Elevated	12/31/2017	U	494
41080	47th-South Elevated	12/04/2017	W	1,259
41080	47th-South Elevated	12/13/2017	W	1,188
41080	47th-South Elevated	12/19/2017	W	1,238
41080	47th-South Elevated	12/23/2017	A	737
41080	47th-South Elevated	12/06/2017	W	1,190
41080	47th-South Elevated	12/02/2017	A	772
41080	47th-South Elevated	12/14/2017	W	1,100
41080	47th-South Elevated	12/29/2017	W	921
41080	47th-South Elevated	12/28/2017	W	816
41080	47th-South Elevated	12/20/2017	W	1,137
41080	47th-South Elevated	12/15/2017	W	1,171
41080	47th-South Elevated	12/30/2017	A	581
41080	47th-South Elevated	12/01/2017	W	1,403
41080	47th-South Elevated	03/31/2018	A	629
41080	47th-South Elevated	01/01/2018	U	264
41080	47th-South Elevated	03/20/2018	W	1,036
41080	47th-South Elevated	03/19/2018	W	1,067
41080	47th-South Elevated	03/30/2018	W	1,054
41080	47th-South Elevated	03/02/2018	W	1,344
41080	47th-South Elevated	01/05/2018	W	965
41080	47th-South Elevated	02/22/2018	W	1,183
41080	47th-South Elevated	01/13/2018	A	543
41080	47th-South Elevated	02/28/2018	W	1,208
41080	47th-South Elevated	02/01/2018	W	1,227
41080	47th-South Elevated	03/12/2018	W	1,111
41080	47th-South Elevated	03/17/2018	A	765
41080	47th-South Elevated	03/07/2018	W	1,160
41080	47th-South Elevated	03/22/2018	W	1,114
41080	47th-South Elevated	03/05/2018	W	1,072
41080	47th-South Elevated	01/23/2018	W	1,116
41080	47th-South Elevated	02/13/2018	W	1,146
41080	47th-South Elevated	02/04/2018	U	409
41080	47th-South Elevated	01/11/2018	W	1,114
41080	47th-South Elevated	03/03/2018	A	764
41080	47th-South Elevated	01/29/2018	W	1,132
41080	47th-South Elevated	02/21/2018	W	1,183
41080	47th-South Elevated	02/14/2018	W	1,196
41080	47th-South Elevated	02/19/2018	W	749
41080	47th-South Elevated	01/20/2018	A	701
41080	47th-South Elevated	02/11/2018	U	450
41080	47th-South Elevated	03/09/2018	W	1,145
41080	47th-South Elevated	03/15/2018	W	1,190
41080	47th-South Elevated	02/27/2018	W	1,192
41080	47th-South Elevated	03/13/2018	W	1,088
41080	47th-South Elevated	03/14/2018	W	1,098
41080	47th-South Elevated	03/25/2018	U	444
41080	47th-South Elevated	01/25/2018	W	1,185
41080	47th-South Elevated	03/23/2018	W	1,154
41080	47th-South Elevated	01/02/2018	W	751
41080	47th-South Elevated	01/10/2018	W	1,102
41080	47th-South Elevated	01/14/2018	U	443
41080	47th-South Elevated	01/08/2018	W	1,004
41080	47th-South Elevated	01/30/2018	W	1,166
41080	47th-South Elevated	03/11/2018	U	459
41080	47th-South Elevated	01/04/2018	W	921
41080	47th-South Elevated	01/24/2018	W	1,162
41080	47th-South Elevated	01/18/2018	W	1,092
41080	47th-South Elevated	02/12/2018	W	1,009
41080	47th-South Elevated	02/17/2018	A	613
41080	47th-South Elevated	01/07/2018	U	402
41080	47th-South Elevated	01/09/2018	W	1,129
41080	47th-South Elevated	01/06/2018	A	532
41080	47th-South Elevated	01/16/2018	W	1,118
41080	47th-South Elevated	02/06/2018	W	1,108
41080	47th-South Elevated	02/15/2018	W	1,119
41080	47th-South Elevated	02/23/2018	W	1,210
41080	47th-South Elevated	02/16/2018	W	1,159
41080	47th-South Elevated	02/08/2018	W	1,082
41080	47th-South Elevated	02/10/2018	A	613
41080	47th-South Elevated	01/15/2018	W	594
41080	47th-South Elevated	03/04/2018	U	465
41080	47th-South Elevated	02/03/2018	A	664
41080	47th-South Elevated	01/17/2018	W	1,079
41080	47th-South Elevated	02/25/2018	U	543
41080	47th-South Elevated	01/12/2018	W	1,065
41080	47th-South Elevated	01/21/2018	U	431
41080	47th-South Elevated	03/18/2018	U	527
41080	47th-South Elevated	02/26/2018	W	1,167
41080	47th-South Elevated	01/03/2018	W	887
41080	47th-South Elevated	02/02/2018	W	1,097
41080	47th-South Elevated	03/21/2018	W	1,138
41080	47th-South Elevated	03/24/2018	A	594
41080	47th-South Elevated	03/10/2018	A	706
41080	47th-South Elevated	03/27/2018	W	1,010
41080	47th-South Elevated	02/20/2018	W	1,118
41080	47th-South Elevated	02/24/2018	A	709
41080	47th-South Elevated	02/09/2018	W	783
41080	47th-South Elevated	03/08/2018	W	1,117
41080	47th-South Elevated	03/06/2018	W	1,102
41080	47th-South Elevated	03/26/2018	W	992
41080	47th-South Elevated	03/28/2018	W	1,003
41080	47th-South Elevated	03/01/2018	W	1,167
41080	47th-South Elevated	01/19/2018	W	1,120
41080	47th-South Elevated	02/05/2018	W	1,082
41080	47th-South Elevated	01/26/2018	W	1,270
41080	47th-South Elevated	02/18/2018	U	481
41080	47th-South Elevated	02/07/2018	W	1,107
41080	47th-South Elevated	01/28/2018	U	485
41080	47th-South Elevated	03/16/2018	W	1,214
41080	47th-South Elevated	03/29/2018	W	1,004
41080	47th-South Elevated	01/31/2018	W	1,163
41080	47th-South Elevated	01/27/2018	A	717
41080	47th-South Elevated	01/22/2018	W	1,113
41080	47th-South Elevated	04/08/2018	U	450
41080	47th-South Elevated	06/14/2018	W	1,119
41080	47th-South Elevated	04/13/2018	W	1,060
41080	47th-South Elevated	04/12/2018	W	1,174
41080	47th-South Elevated	04/26/2018	W	1,163
41080	47th-South Elevated	05/10/2018	W	1,152
41080	47th-South Elevated	04/07/2018	A	642
41080	47th-South Elevated	04/17/2018	W	1,094
41080	47th-South Elevated	06/09/2018	A	644
41080	47th-South Elevated	05/01/2018	W	1,236
41080	47th-South Elevated	05/19/2018	A	653
41080	47th-South Elevated	04/11/2018	W	1,155
41080	47th-South Elevated	06/29/2018	W	1,161
41080	47th-South Elevated	04/02/2018	W	1,070
41080	47th-South Elevated	04/22/2018	U	506
41080	47th-South Elevated	06/06/2018	W	1,108
41080	47th-South Elevated	06/24/2018	U	628
41080	47th-South Elevated	05/06/2018	U	546
41080	47th-South Elevated	06/03/2018	U	523
41080	47th-South Elevated	04/06/2018	W	1,178
41080	47th-South Elevated	05/27/2018	U	592
41080	47th-South Elevated	04/09/2018	W	981
41080	47th-South Elevated	05/03/2018	W	1,225
41080	47th-South Elevated	05/28/2018	U	534
41080	47th-South Elevated	06/27/2018	W	1,095
41080	47th-South Elevated	06/02/2018	A	703
41080	47th-South Elevated	06/26/2018	W	997
41080	47th-South Elevated	04/18/2018	W	1,056
41080	47th-South Elevated	06/11/2018	W	1,094
41080	47th-South Elevated	06/13/2018	W	1,184
41080	47th-South Elevated	06/25/2018	W	1,080
41080	47th-South Elevated	05/31/2018	W	1,134
41080	47th-South Elevated	06/15/2018	W	1,109
41080	47th-South Elevated	04/28/2018	A	651
41080	47th-South Elevated	06/01/2018	W	1,225
41080	47th-South Elevated	05/16/2018	W	1,144
41080	47th-South Elevated	04/24/2018	W	1,134
41080	47th-South Elevated	04/05/2018	W	1,151
41080	47th-South Elevated	06/19/2018	W	1,095
41080	47th-South Elevated	04/19/2018	W	1,086
41080	47th-South Elevated	05/18/2018	W	1,089
41080	47th-South Elevated	06/20/2018	W	1,064
41080	47th-South Elevated	06/08/2018	W	1,071
41080	47th-South Elevated	04/20/2018	W	1,187
41080	47th-South Elevated	06/10/2018	U	420
41080	47th-South Elevated	05/07/2018	W	1,132
41080	47th-South Elevated	04/16/2018	W	1,002
41080	47th-South Elevated	06/12/2018	W	1,138
41080	47th-South Elevated	06/23/2018	A	708
41080	47th-South Elevated	05/24/2018	W	1,133
41080	47th-South Elevated	05/15/2018	W	1,112
41080	47th-South Elevated	05/14/2018	W	1,052
41080	47th-South Elevated	04/04/2018	W	1,080
41080	47th-South Elevated	05/09/2018	W	1,086
41080	47th-South Elevated	06/21/2018	W	918
41080	47th-South Elevated	06/17/2018	U	586
41080	47th-South Elevated	05/23/2018	W	1,211
41080	47th-South Elevated	05/12/2018	A	658
41080	47th-South Elevated	06/30/2018	A	729
41080	47th-South Elevated	05/21/2018	W	1,038
41080	47th-South Elevated	04/03/2018	W	1,137
41080	47th-South Elevated	06/07/2018	W	1,115
41080	47th-South Elevated	06/04/2018	W	1,158
41080	47th-South Elevated	04/14/2018	A	569
